CERT,fail_date,fail_period,most_recent_watch_period,most_recent_critical_period,watch_lead_q,critical_lead_q,watch_run_to_failure,critical_run_to_failure,last_flagged_tier_before_failure,last_flagged_run_to_failure
10054,2010-03-19,2010Q1,2008Q4,2009Q4,17,7,0,3,Critical,3
1006,2009-12-18,2009Q4,2008Q3,2009Q3,11,1,0,2,Critical,2
10086,2011-04-08,2011Q2,2009Q4,2011Q1,18,1,0,5,Critical,5
10100,2009-09-18,2009Q3,2009Q1,,2,,0,0,Watch,0
10216,2011-10-07,2011Q4,2010Q1,2011Q3,13,1,0,6,Critical,6
10440,2009-12-04,2009Q4,2008Q3,2009Q3,11,1,0,4,Critical,4
10450,2014-06-20,2014Q2,2012Q3,2014Q1,19,1,0,6,Critical,6
10506,2010-07-23,2010Q3,2008Q4,2010Q2,19,1,0,2,Critical,2
1056,2012-07-13,2012Q3,2011Q4,2012Q2,9,1,0,2,Critical,2
10716,2019-05-31,2019Q2,2012Q1,,71,,0,0,Watch,0
10888,2010-04-23,2010Q2,2008Q4,2010Q1,18,1,0,5,Critical,5
11297,2016-08-19,2016Q3,2015Q2,2016Q2,11,1,0,3,Critical,3
11416,2009-10-02,2009Q4,2008Q2,2009Q3,12,1,0,5,Critical,5
11568,2008-12-12,2008Q4,2006Q4,,20,,0,0,Watch,0
11636,2010-07-09,2010Q3,2009Q3,2010Q2,10,1,0,3,Critical,3
11639,2003-05-09,2003Q2,2003Q1,,1,,1,0,Watch,1
11677,2009-10-30,2009Q4,2009Q3,,1,,5,0,Watch,5
11710,2009-07-02,2009Q3,2008Q4,2009Q2,9,1,0,2,Critical,2
12080,2009-12-04,2009Q4,2008Q3,2009Q3,11,1,0,4,Critical,4
12093,2009-07-02,2009Q3,2008Q4,2009Q2,9,1,0,2,Critical,2
12261,2011-01-28,2011Q1,2009Q4,2010Q4,17,7,0,4,Critical,4
12483,2014-06-27,2014Q2,2014Q1,,1,,17,0,Watch,17
1249,2004-06-25,2004Q2,2004Q1,,1,,14,0,Watch,14
1252,2010-01-15,2010Q1,2008Q4,2009Q4,17,7,0,4,Critical,4
12736,2008-05-30,2008Q2,2007Q3,2008Q1,9,1,0,2,Critical,2
13272,2011-02-11,2011Q1,2008Q4,2010Q4,27,7,0,6,Critical,6
1361,2012-07-20,2012Q3,2007Q4,2012Q2,49,1,0,7,Critical,7
13693,2009-09-11,2009Q3,2008Q2,2009Q2,11,1,0,4,Critical,4
13789,2008-10-10,2008Q4,2004Q4,2008Q3,40,1,0,3,Critical,3
14194,2011-11-18,2011Q4,2010Q1,2011Q3,13,1,0,6,Critical,6
14246,2010-05-07,2010Q2,2008Q3,2010Q1,19,1,0,4,Critical,4
14273,2011-04-15,2011Q2,2010Q2,2011Q1,10,1,0,3,Critical,3
14318,2013-09-13,2013Q3,2012Q2,2013Q2,11,1,0,4,Critical,4
14361,2020-04-03,2020Q2,2018Q2,2020Q1,20,1,0,7,Critical,7
14580,2010-11-12,2010Q4,2009Q2,2010Q3,12,1,0,5,Critical,5
14794,2013-10-30,2013Q4,2010Q3,2013Q3,31,1,0,12,Critical,12
14939,2011-02-11,2011Q1,2009Q3,2010Q4,18,7,0,5,Critical,5
15062,2014-04-25,2014Q2,2013Q3,2013Q4,9,8,0,0,Critical,0
151,2011-02-18,2011Q1,2008Q4,2010Q4,27,7,0,6,Critical,6
15302,2009-07-02,2009Q3,2009Q2,2009Q1,1,2,1,0,Watch,1
15426,2020-10-23,2020Q4,2019Q2,2020Q3,12,1,0,5,Critical,5
15448,2010-02-05,2010Q1,2008Q3,2009Q4,18,7,0,5,Critical,5
15640,2010-08-20,2010Q3,2009Q3,2010Q2,10,1,0,3,Critical,3
15814,2010-06-04,2010Q2,2009Q4,2010Q1,8,1,0,1,Critical,1
16089,2010-10-22,2010Q4,2009Q1,2010Q3,13,1,0,6,Critical,6
16133,2010-01-29,2010Q1,2008Q4,2009Q4,17,7,0,4,Critical,4
16240,2012-07-27,2012Q3,2011Q2,2012Q2,11,1,0,3,Critical,3
16431,2013-03-08,2013Q1,2011Q2,2012Q4,19,7,0,6,Critical,6
16445,2002-12-17,2002Q4,1994Q2,,82,,0,0,Diverging,0
16476,2010-05-07,2010Q2,2008Q3,2010Q1,19,1,0,4,Critical,4
16480,2010-01-29,2010Q1,2008Q4,2009Q4,17,7,0,3,Critical,3
16490,2008-11-21,2008Q4,2007Q4,2008Q3,10,1,0,3,Critical,3
16500,2009-02-13,2009Q1,2007Q2,2008Q4,19,7,0,2,Critical,2
16579,2012-01-27,2012Q1,2009Q3,2011Q4,28,7,0,9,Critical,9
16730,2010-01-29,2010Q1,2008Q4,2009Q4,17,7,0,4,Critical,4
16748,2020-10-16,2020Q4,2008Q1,2020Q3,123,1,0,43,Critical,43
16848,2007-10-04,2007Q4,2007Q2,,2,,4,0,Watch,4
1690,2012-06-15,2012Q2,2011Q2,2012Q1,10,1,0,3,Critical,3
17309,2009-06-05,2009Q2,2008Q4,2009Q1,8,1,0,1,Critical,1
17522,2010-01-15,2010Q1,2009Q1,2009Q4,10,7,0,3,Critical,3
17557,2015-01-16,2015Q1,2012Q4,2014Q4,27,7,0,6,Critical,6
17599,2010-08-13,2010Q3,2009Q3,2010Q2,10,1,0,3,Critical,3
