CERT,NAME,STALP,ASSET,G,A,MHI,AG_div,Tier,G_binding,Period,Scored_Date,G_MEAN,delta_MHI,delta_G,delta_G_MEAN,delta_A,first_watch_period,first_diverging_period,first_critical_period,first_inf_period,watch_run,diverging_run,critical_run,trajectory_class,peak_MHI,peak_MHI_period,lowest_G,lowest_G_period,ever_inf
14,STATE STREET BANK&TRUST CO,MA,360681000.0,0.7845079598416383,0.4736038866220848,0.6036954509903086,-0.3109040732195535,Stable,Noncurrent Loans %,2025Q4,2026-04-16,0.8887082776778807,0.0070440879732851,-0.0169740794169996,-0.0053171471290864,-0.004601464535245,2009Q1,,,,0,0,0,Persistent_Stable,1.4020930418239097,2010Q2,0.4107013599404318,2010Q2,False
35,AUBURNBANK,AL,1018261.0,0.9338967061293364,0.6450630800346216,0.6907220850024993,-0.2888336260947148,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.9721790377533828,0.0428971777207186,-0.044496461242994,-0.0196864056586538,0.0112356170965139,1998Q3,1992Q1,,,0,0,0,Persistent_Stable,2.4425258309557125,2001Q4,0.3142466076477919,2001Q4,False
39,ROBERTSON BANKING CO,AL,468318.0,0.948831032760322,0.8768804076048512,0.9241691906448788,-0.0719506251554709,Stable,Noncurrent Loans %,2025Q4,2026-04-16,0.9844965867972016,-0.0124875778765576,0.0019827021719105,-0.0011532501220139,-0.0099914900040068,1999Q3,1992Q1,,,0,0,0,Persistent_Stable,2.44342959195778,2004Q2,0.3264054010767657,2004Q2,False
41,PHENIX-GIRARD BANK,AL,345388.0,0.8620379332008896,0.5927191988005213,0.6875790217254787,-0.2693187344003683,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.950780350588598,-0.3132046576781442,0.2680290648432467,0.0957167668180236,-0.0017551820728228,1992Q1,1993Q4,,,0,0,0,Persistent_Stable,3.339543360640817,2010Q2,0.241970905124766,2010Q2,False
49,BANK OF EVERGREEN,AL,77314.0,0.7722678227829602,0.6120899457843164,0.7925876590048468,-0.1601778769986438,Stable,Noncurrent Loans %,2025Q4,2026-04-16,0.9053084517366248,0.1334268007504453,-0.1504816315007138,-0.0689407013824447,0.0038496235449092,1992Q1,1992Q3,,,0,0,0,Persistent_Stable,4.641896192106817,2020Q1,0.1479142927754242,2020Q1,False
50,COMMUNITY SPIRIT BANK,AL,220292.0,0.9763137178406468,0.8204225597887032,0.8403267769332028,-0.1558911580519437,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.9870197214530888,-0.0004646488024803,-0.0057331365053373,-0.005889120092177,-0.0052740150160995,1992Q1,1992Q2,,,0,0,0,Persistent_Stable,2.3162712695358127,2002Q1,0.2979322243469959,1999Q3,False
51,BANK OF VERNON,AL,414568.0,0.7495632103529604,0.8960635589157775,1.1954476240820728,0.1465003485628171,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.901395379005358,0.1905664100914672,-0.1608070882518012,-0.0649045082806487,-0.0187504519271657,1992Q1,1993Q3,,,0,0,0,Persistent_Stable,4.890688537443313,2012Q4,0.1548286297729342,2013Q1,False
52,CITIZENS BANK OF WINFIELD,AL,294607.0,0.6407800205268559,0.508072886460498,0.7928975158163565,-0.1327071340663579,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.8479729854923796,0.1366756680922644,-0.0764051470060677,-0.0409362528340039,0.0374403106617303,1992Q1,1992Q4,,,0,0,0,Persistent_Stable,4.870668154249007,2010Q1,0.1822800889171165,2010Q1,False
54,EXCHANGE BANK OF ALABAMA,AL,392141.0,0.9487989562572416,0.7742440087284779,0.8160253588206544,-0.1745549475287636,Stable,Net Charge-offs %,2025Q4,2026-04-16,0.9786189958072736,0.0156044529079552,0.0049036979813528,0.0006980764554598,0.0187305110125897,1992Q1,1992Q3,,,0,0,0,Persistent_Stable,2.9780043995962,2010Q3,0.1887477371985906,2010Q2,False
58,UNITED BANK,AL,1446151.0,0.5305522248413074,0.8453726602177455,1.5933825562047237,0.3148204353764381,Diverging,Noncurrent Loans %,2025Q4,2026-04-16,0.7940241217577977,0.1624107018309382,-0.0688570644353429,-0.0289775233161836,-0.0123651619873357,1992Q1,1993Q2,,,0,7,0,Persistent_Diverging,3.7577387953729215,1992Q3,0.210092275770474,2010Q2,False
