Period,banks,mean_G,median_G,mean_MHI_finite,median_MHI,p90_MHI,p95_MHI,critical,watch,diverging,stable
1992Q1,14341,0.5417233916891061,0.5377842993396919,3.1999484124135638,1.415455497427582,3.103200756730065,4.592671583821206,511,5596,2223,6011
1992Q2,14211,0.5583289033746509,0.5586038299606139,2.8316206816353495,1.386795693537165,2.839661095222985,3.975222372008447,399,5217,2408,6187
1992Q3,14087,0.5726862706010928,0.575304605083888,2.322313272668277,1.3574739232113922,2.6810075756982124,3.561219144474698,304,4913,2496,6374
1992Q4,13907,0.5916391909172215,0.5962207215225107,2.0157035843366256,1.2975525263799303,2.4271969040993073,3.145078479096946,221,4375,2420,6891
1993Q1,13770,0.6084297559806575,0.6149285663145326,2.0561917112516674,1.2694591784476719,2.5228821878038836,3.2605723128470543,187,4149,2347,7087
1993Q2,13601,0.6208245500065461,0.6299546133726553,1.7837182309973911,1.2529928408775688,2.364858376977286,2.967661944087507,142,3831,2444,7184
1993Q3,13476,0.6299023852840603,0.643895176659932,1.665070032046372,1.2317380213024407,2.257022406871475,2.8396730248142203,112,3580,2362,7422
1993Q4,13315,0.6448104921937713,0.659891571402465,1.5343385233409874,1.1823767488532908,2.1104446141372772,2.6176958032553017,74,3163,2169,7909
1994Q1,13180,0.6584912360443765,0.6779639118716747,1.5040166487422733,1.134434435325055,2.1134032163021876,2.6684875475579988,82,3014,1806,8278
1994Q2,13030,0.6709305375845873,0.6918726668140561,1.4532079999746486,1.1275043683425983,2.0496048144042534,2.5648014577796587,72,2751,1831,8376
1994Q3,12877,0.6778552283447407,0.7007808499743984,1.385583573868686,1.1201031107536048,1.9992399864206372,2.470546032414924,66,2527,1866,8418
1994Q4,12699,0.6865089765981123,0.7106902969976532,1.3401021761197658,1.0973680885569737,1.9126168590996901,2.3645118873544595,63,2296,1744,8596
1995Q1,12454,0.6888656548755253,0.7140297486600431,1.3533782262700298,1.0945318764068883,1.9878139733896198,2.487814532967953,52,2343,1652,8407
1995Q2,12347,0.6882756961346216,0.7124622164915766,1.3045194039542394,1.0948279465035848,1.9536304582313844,2.449970001392572,40,2257,1738,8312
