scenario,center_t1,k_t1,center_trbc,k_trbc,scale_ncl,scale_nco,center_roa,k_roa,center_eff,k_eff,center_nim,k_nim,critical_g,watch_g_low,watch_g_high,watch_mhi,diverging_g,diverging_mhi,g_agg,w_t1,w_trbc,w_ncl,w_nco,test_a_hi_n,test_a_lo_n,test_a_hi_rate,test_a_lo_rate,test_a_lift,test_b_decile1,test_b_decile10,test_b_spread,test_b_monotonic,test_c_run1,test_c_run5,test_c_run10,mhi_decile1,mhi_decile10,mhi_spread,mhi_monotonic,g_decile1,g_decile10,g_spread,g_monotonic,texas_decile1,texas_decile10,texas_spread,texas_monotonic,latest_period,banks_latest,latest_critical,latest_watch,latest_diverging,latest_stable,latest_median_g,latest_median_mhi,delta_test_a_hi_rate,delta_test_a_lo_rate,delta_test_a_lift,delta_test_b_decile1,delta_test_b_decile10,delta_test_b_spread,delta_test_b_monotonic,delta_test_c_run1,delta_test_c_run5,delta_test_c_run10,delta_mhi_spread,delta_g_spread,delta_texas_spread,delta_latest_critical,delta_latest_watch,delta_latest_diverging,delta_latest_stable,delta_latest_median_g,delta_latest_median_mhi
center_eff_+5,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,75.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,226399,25191,85.35285049845626,49.398594736215315,1.7278396471444968,7.197043376774946,88.4978290282359,81.30078565146096,1,74.2663166470535,89.1807561134896,92.29418992452167,7.197043376774946,88.4978290282359,81.30078565146096,1,5.368511209416086,87.33475216135783,81.96624095194174,1,8.559563654394447,52.5995589915252,44.039995337130755,0,2025Q4,4408,13,496,402,3497,0.8003129858881597,0.9517011288920847,0.17111285000608234,1.8687238060225653,-0.0643330640660349,0.4677194037240717,0.38113597976708036,-0.08658342395699492,0,0.09323762003042191,0.20158636906649008,0.10443523476698147,-0.08658342395699492,0.520152467020452,0.48176654453454404,0,13,68,-81,0.0,0.027771943740506178
center_eff_-5,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,65.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,217969,33621,84.9909849565764,46.41444335385622,1.8311322686479046,6.31642234443246,87.70460635108725,81.3881840066548,1,74.02284916611565,88.97780462026273,92.03869047619048,6.31642234443246,87.70460635108725,81.3881840066548,1,5.157479272072263,86.07900105087471,80.92152177880244,1,8.253200871274505,51.255280146648595,43.002079275374086,0,2025Q4,4408,13,475,269,3651,0.8003129858881597,0.8925568240431541,-0.19075269187378296,-1.1154275763365291,0.038959557437372894,-0.41290162861841484,-0.412086697381568,0.0008149312368459505,0,-0.15022986090743018,-0.0013651241603724884,-0.1510642135642115,0.0008149312368459505,-0.524566706118847,-0.5561495172221242,0,-8,-65,73,0.0,-0.03137236110842445
center_nim_+0.5,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.5,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,210089,41501,84.62127955295136,43.097756680561915,1.9634729524360028,6.24922636204488,87.1191956350645,80.86996927301962,1,73.74221459739678,88.54794520547945,91.9826224328594,6.24922636204488,87.1191956350645,80.86996927301962,1,4.9605749958058505,84.37110889357908,79.41053389777322,1,8.02032973844056,49.63647795400406,41.6161482155635,0,2025Q4,4408,13,462,242,3691,0.8003129858881597,0.8692719817610097,-0.5604580954988165,-4.4321142496308354,0.17130024122547116,-0.4800976110059949,-0.997497413404318,-0.5173998023983302,0,-0.4308644296262969,-0.43122453894365265,-0.20713225689529224,-0.5173998023983302,-2.03555458714807,-1.942080577032712,0,-21,-92,113,0.0,-0.05465720339056879
center_nim_-0.5,5.0,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,2.5,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,230830,20760,85.59892561625439,51.86416184971099,1.6504445953315139,7.341161075843044,88.79495591733505,81.453794841492,1,74.47723591866115,89.43476715250623,92.58691206543968,7.341161075843044,88.79495591733505,81.453794841492,1,5.518617608363575,88.24521587085722,82.72659826249365,1,8.717172253802971,53.49220265136421,44.77503039756124,0,2025Q4,4408,13,504,422,3469,0.8003129858881597,0.9665898341914387,0.4171879678042103,4.334290919518239,-0.1417281158790178,0.6118371027921699,0.6782628688662271,0.06642576607404749,0,0.3041568916380726,0.455597408083122,0.39715737568498355,0.06642576607404749,1.2805097775723624,1.2168016049650276,0,21,88,-109,0.0,0.04266064903986022
center_roa_+0.25,5.0,1.5,10.0,1.0,0.5,1.0,0.25,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,215116,36474,84.85468305472396,44.74694302791029,1.8963235768261761,6.256299623348835,87.33673496458354,81.0804353412347,1,73.88269188150993,88.80214313050135,91.82975489264678,6.256299623348835,87.33673496458354,81.0804353412347,1,5.076245220877151,85.42021741626118,80.34397219538403,1,8.15934406488516,50.61502085491883,42.45567679003367,0,2025Q4,4408,13,473,301,3621,0.8003129858881597,0.9050214006159718,-0.32705459372621704,-2.7829279022824593,0.10415086561564446,-0.47302434970203944,-0.7799580838852762,-0.30693373418324654,0,-0.2903871455131508,-0.177026613921754,-0.35999979710791763,-0.30693373418324654,-1.102116289537264,-1.1025520025625397,0,-10,-33,43,0.0,-0.01890778453560671
center_roa_-0.25,5.0,1.5,10.0,1.0,0.5,1.0,-0.25,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,228091,23499,85.44835175434366,50.52129877867143,1.6913332360809652,7.1413414440062954,88.64462386035036,81.50328241634406,1,74.39747064137308,89.30446666187154,92.44105409153953,7.1413414440062954,88.64462386035036,81.50328241634406,1,5.415309086735009,87.69240279409037,82.27709370735536,1,8.594981317182878,53.016657368295206,44.42167605111233,0,2025Q4,4408,13,501,359,3535,0.8003129858881597,0.9368916328891531,0.2666141058934812,2.991427848478679,-0.10083947512956648,0.41201747095542096,0.5279308118815464,0.11591334092611305,0,0.22439161434999733,0.3252969174484406,0.25129940178483423,0.11591334092611305,0.8310052224340723,0.8634472585161177,0,18,25,-43,0.0,0.0129624477375746
center_t1_+0.5,5.5,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,224709,29593,85.21732551878208,47.33889771229683,1.8001544107911471,6.840969778422254,88.2075680264589,81.36659824803665,1,74.29019805909304,88.98119807608221,92.2774401144083,6.840969778422254,88.2075680264589,81.36659824803665,1,5.311117586289105,86.72983689364972,81.41871930736062,1,8.658733110202057,52.50303304021324,43.84429993001118,0,2025Q4,4408,13,485,334,3576,0.799687516747985,0.9239291851515785,0.03558787033189503,-0.19097321789592314,0.007981699580615453,0.11164580537137958,0.09087497799008304,-0.020770827381298318,0,0.1171190320699651,0.002028331659104765,0.08768542465359985,-0.020770827381298318,-0.027369177560672142,0.2860711374149716,0,2,0,-2,-0.0006254691401746948,0.0
center_t1_-0.5,4.5,1.5,10.0,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,221964,29189,85.18093024093997,47.49049299393607,1.7936417348166187,6.686707042128995,88.09677504929833,81.41006800716933,1,74.15968304394661,89.025565024083,92.21600144482571,6.686707042128995,88.09677504929833,81.41006800716933,1,5.219287789285935,86.67685161472637,81.45756382544045,1,8.341745028245585,51.824694703470506,43.48294967522492,0,2025Q4,4408,13,483,333,3579,0.8003129858881597,0.9236943901917406,-0.0008074075102086908,-0.039377936256677515,0.0014690236060870276,-0.04261693092187979,-0.019917999170488088,0.02269893175137838,0,-0.013395983076463835,0.04639527965989032,0.02624675507101415,0.02269893175137838,0.011475340519154997,-0.0752791173712879,0,0,-1,1,0.0,-0.00023479495983791399
center_trbc_+0.5,5.0,1.5,10.5,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,242667,29998,85.56293191904956,48.2898859923995,1.7718603007784401,7.22257596660653,89.5397378522279,82.31716188562137,1,75.58262536775644,89.01900428265525,92.5181557169397,7.22257596660653,89.5397378522279,82.31716188562137,1,5.4029473832922745,87.64824839498759,82.24530101169532,1,10.415449184508315,55.053443496896115,44.637994312387804,0,2025Q4,4408,13,486,344,3565,0.7926147252700446,0.9277201007401864,0.38119427059938005,0.7600150622067474,-0.020312410432091532,0.4932519935556554,1.4230448037590833,0.9297928102034234,0,1.4095463407333568,0.039834538232142336,0.3284010271850093,0.9297928102034234,0.7992125267740278,1.079765519791593,0,3,10,-13,-0.0076982606181150715,0.0037909155886078905
center_trbc_-0.5,5.0,1.5,9.5,1.0,0.5,1.0,0.0,2.0,70.0,0.08,3.0,1.5,0.1,0.1,0.5,1.2,0.5,1.3,min,1.0,1.0,1.0,1.0,218802,29481,85.32280326505243,47.406804382483635,1.79980077494062,6.531059661778096,88.05280002829204,81.52174036651394,1,74.49463251962456,88.99460593347318,92.14611872146119,6.531059661778096,88.05280002829204,81.52174036651394,1,5.179553742505718,86.54703768136419,81.36748393885847,1,7.860950255892614,51.011751370402834,43.15080111451022,0,2025Q4,4408,13,483,332,3580,0.8035858750918764,0.9194160884406595,0.1410656166022477,-0.12306654770911507,0.007628063730088286,-0.19826431127277822,-0.06389302017677778,0.134371291095988,0,0.32155349260148114,0.015436189050078042,-0.04363596829350058,0.134371291095988,-0.07860454606282019,-0.40742767808598757,0,0,-2,2,0.003272889203716711,-0.00451309671091904
